id,section_id,person_id,created_at,updated_at
2,2,2,,
4,5,4,,
5,3,5,,
6,6,6,,
8,8,10,,
10,5,12,,
11,4,13,,
12,10,14,,
14,9,116,,
15,9,117,,
16,7,120,,
17,7,121,,
18,8,125,,
21,76,2,,
22,65,1,,
23,65,15,,
24,68,14,,
25,69,120,,
26,75,4,,
27,75,54,,
28,70,117,,
29,71,13,,
30,74,6,,
32,72,132,,
33,69,102,,
34,67,29,,
35,70,116,,
36,65,26,,
39,77,2,,
40,83,54,,
41,83,4,,
42,81,1,,
43,81,26,,
44,85,102,,
45,78,132,,
46,79,117,,
47,86,13,,
48,88,6,,
49,82,179,,
50,80,5,,
52,85,166,,
53,90,25,,
54,90,26,,
55,92,2,,
56,91,179,,
57,93,4,,
58,93,54,,
59,94,86,,
62,100,13,,
64,99,6,,
65,95,193,,
66,97,10,,
67,101,24,,
68,98,5,,
69,111,13,,
70,106,25,2014-09-08 10:32:51.777167,2014-09-08 10:32:51.777167
71,106,26,2014-09-08 10:33:05.164543,2014-09-08 10:33:05.164543
72,102,2,2014-09-08 10:34:20.987375,2014-09-08 10:34:20.987375
(58 Zeilen)
